t(s),vx(m/s),vy(m/s),vz(m/s),r(deg),p(deg),y(deg),lat(deg),lon(deg),alt(m),heading(deg),b(V),b(A),b(%)
20.471866369247437,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
20.67298674583435,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
20.87401509284973,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
21.075087785720825,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
21.275591135025024,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
21.476089000701904,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
21.676528453826904,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
21.87683916091919,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
22.077184200286865,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
22.278027534484863,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
22.47910976409912,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
22.6802179813385,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
22.88131308555603,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
23.081846237182617,-0.15,-0.17,-0.01,0.8833109593998727,0.5927810190080054,185.83207495726413,47.3977461,8.5455976,8.01,185.83207495726413,11.724,-1.0,75
